Epoch,Train Loss
1,0.17011293425009802
2,0.15862260586940324
3,0.1506690360032595
4,0.14868012070655823
5,0.1503902736764688
6,0.1474882220992675
7,0.1484196289227559
8,0.14841688596285307
9,0.15042463690042496
10,0.14783201825160247
11,0.1460489951647245
12,0.149443391423959
13,0.14610905142930838
14,0.14486208730019057
15,0.14411377906799316
16,0.14541161977327788
17,0.14405266711345086
18,0.14316198287101892
19,0.1447568295093683
20,0.1438699015058004
21,0.14450221336804903
22,0.14335351838515356
23,0.1421818985388829
24,0.14289995684073523
25,0.14359718847733277
26,0.14192106402837312
27,0.1414246272582274
28,0.1424680592922064
29,0.14373840334323737
30,0.14337734304941618
31,0.14230848734195417
32,0.1421553475352434
