Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,15.9324,11.4617,18.3766,4.0765,42.2899,5.1649,2.8383,1.1269792321241088e+19
Timer,16.1002,10.3514,32.115,3.613,37.8178,3.2979,7.5266,6.368114938531021e+18
TimesFM,20.3817,12.0695,14.3202,3.4487,24.8634,3.2497,2.7098,1.7367976725656371e+19
Morai,10.9488,13.4989,14.9889,10.796,44.4301,9.3781,6.3664,2.1333073353454387e+19
Chronos,11.3912,12.0747,15.4467,3.4789,31.0073,1.5979,3.7256,3.343532396694733e+19
My-MoE,10.0171,11.8537,19.3424,3.5984,41.8984,3.0356,5.9148,9.195380669834854e+18
