Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,7.3487,5.3637,33.4813,1.1867,22.9509,2.3725,11.1506,333.839
Timer,7.0406,5.6876,34.5985,1.5532,26.9433,6.1254,13.8317,210.7991
TimesFM,8.3746,6.267,29.9596,0.6686,34.8797,3.9098,11.055,261.7456
Morai,11.076,7.0994,29.6479,9.0681,14.9221,17.603,10.4737,1108.3116
Chronos,9.5217,6.7612,32.7344,0.8758,21.6202,4.6729,12.3219,128.8987
My-MoE,8.3746,6.267,37.6751,0.6686,15.1708,3.9098,11.055,129.4184
