Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,11.1797,16.2676,22.9444,4.2446,29.6237,8.8412,18.0245,6.689125411323904e+17
Time-MoE,14.6902,17.471,16.7749,6.4878,85.073,28.1041,29.4259,4.638785333624832e+17
TimesFM,14.3417,16.0695,18.5931,3.497,46.673,4.0607,15.8765,4.52003801071616e+16
Timer,12.1675,13.6355,25.9048,3.0056,79.834,9.3416,20.3582,1.0479152192815104e+18
Chronos,13.6982,15.146,28.5929,3.3199,17.3948,6.5426,16.4379,0.0
My-MoE,18.0233,10.8537,20.199,3.0425,154.0765,4.6458,18.1206,1.8251555866148864e+18
Mean Foundation Models,11.4923,15.3512,20.4943,3.7736,46.3542,7.8906,17.7826,2.945441595392e+17
