Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
UniTS,40.7334,5.0922,23.6151,5.1092,169.3376,6.2174,10.8756,1.35470851817472e+17
SimMTM,72.0811,8.2532,29.4596,5.1848,98.5714,4.4291,20.6735,66321488281600.0
