Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,12.9845,4.6284,30.1793,3.1514,5.131681471345459e+18,7.2255,21.9866,3.0920120251449344e+18
Time-MoE,11.7455,21.2165,21.7534,3.9562,5.344470472065024e+18,40.2146,22.7575,1.419364687413248e+17
TimesFM,11.6483,7.4096,21.1811,3.504,5.141042782063821e+18,4.6537,29.6948,4180412465152000.0
Timer,15.7062,8.3884,31.728,2.5793,1.1082834112833126e+19,6.4997,27.5811,5.44324324425728e+16
Chronos,13.5636,3.8824,40.1533,3.4807,6.479897475363635e+18,4.7922,35.0329,0.0
My-MoE,11.6483,21.2165,21.7534,3.9562,5.344471760555213e+18,40.2146,22.7575,5.11085706739712e+16
Mean Foundation Models,11.9135,8.3126,25.8076,2.9646,6.635985606331597e+18,8.6151,27.4106,6.530546628820992e+17
