Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,15.6738,6.6925,1.2684920694505472e+18,6.8944,4.837373561851085e+18,12.5196,23.4318,1.6300280282873856e+18
Time-MoE,24.5345,23.066,1.2412639095291904e+18,9.7112,6.172825352562278e+18,24.6552,14.5968,1.8958346421796864e+18
TimesFM,20.1172,6.1931,1.354999904862208e+18,5.3017,1.133193298182144e+18,6.7401,19.2429,0.0
Timer,28.2524,10.1293,1.0926071457251328e+18,5.9851,1.393992882150441e+19,12.0641,18.1512,6.94019201957888e+17
Chronos,16.5557,5.6438,1.2362699363057664e+18,5.7427,2.691673184272384e+18,8.5801,19.504,0.0
My-MoE,24.5345,6.1931,1.4235584276987904e+18,5.3017,1.4861219063345971e+19,6.7401,19.2429,1.0670863426781184e+18
Mean Foundation Models,19.7587,10.0337,1.238726550224896e+18,6.5412,5.661546862188954e+18,12.4859,17.2724,2.022451378651136e+17
