Epoch,Train Loss
1,0.1446125438580146
2,0.14694769909748664
3,0.14681753860070154
4,0.13955780004079527
5,0.13506857076516518
6,0.13278033641668466
7,0.1360074751652204
8,0.13492062114752257
9,0.13736953872900742
10,0.13325490000156257
11,0.13327565445349768
12,0.13727026490064767
13,0.13354928906147295
14,0.13716781024749464
15,0.12944367012152305
16,0.131424901004021
17,0.13054600931130922
18,0.13115407813053864
19,0.12940223171160772
20,0.12989853437130267
21,0.12663112924649164
22,0.1307288156105922
23,0.12831879808352545
24,0.12704810672081435
25,0.1270423262165143
26,0.12669231627996153
27,0.12492985450304471
28,0.124339348421647
29,0.12619172495145065
30,0.12522096645373565
31,0.12387509758655842
32,0.12423401440565403
33,0.12369444737067589
34,0.1246329121864759
35,0.12637700484349176
36,0.12645512475417212
37,0.12399533333686683
38,0.12600397318601608
39,0.12291048409847113
40,0.12291140051988456
41,0.12370144919707225
42,0.12226536640754113
43,0.12151597612179242
44,0.12208677312502494
45,0.12306383538704652
46,0.12268715351819992
47,0.12225015461444855
48,0.12173585249827458
49,0.12170486610669357
50,0.12114112766889426
51,0.1208480241206976
52,0.12035833700345112
53,0.11994530260562897
54,0.12152051123288962
55,0.1206753861445647
56,0.12040789482685235
57,0.11966466445189256
58,0.1199816963993586
59,0.12024050377882443
60,0.11962001197613202
61,0.11915640991467696
62,0.11944787662762862
63,0.11862697738867539
64,0.11970584381085175
65,0.11939005324473748
66,0.1193700971511694
67,0.11896937627058762
68,0.11951323885184068
69,0.11974136588665155
70,0.11873522400856018
71,0.11896961468916672
72,0.11857491445082885
73,0.11876867023798135
74,0.11939993328773059
75,0.11855565412686421
76,0.11903296926846871
77,0.11818543305763832
78,0.11854272049206954
79,0.1188044731433575
80,0.11853770338571988
81,0.11869016175086682
82,0.11827214520711166
83,0.11801173824530381
84,0.11894768992295632
85,0.11780180037021637
86,0.1187361879990651
87,0.1190441159101633
88,0.11847603149138965
89,0.11880876754338925
90,0.1176679042669443
91,0.11884149221273568
92,0.11780838897595039
93,0.11873332582987271
94,0.11777653029331794
95,0.11818266889223686
96,0.11782926779526931
97,0.11791125513040103
98,0.11895157167544732
99,0.11801390579113594
100,0.11780490840856846
